"Template Description","Program Type","Template Version","Movie/Show Filmhub SKU","Movie/Show Title","Movie/Show Synopsis","Movie/Show Sales Pitch","Genre","Festivals","Cast","Director(s)","Writer(s)","Producer(s)","Movie Running Time","Production Year","Country of Origin","Original Spoken Language","Production Company","Copyright","Studio","IMDb ID","IMDb Link","Rating System","Rating","Voluntary Rating(s)","Tag(s)","Movie Chapters/Ad Breaks","Avail Type(s)","Avail Start","Avail End","Avail Countries Included","Avail Countries Excluded","Movie Filename","Movie Audio Type","Trailer","Trailer Audio Type","Trailer Filename","Movie Subtitles/Captions Languages","Movie Subtitles/Captions Types","Movie Subtitles/Captions Filenames","Key Art 2:3 Filename","Key Art 3:4 Filename","Key Art 16:9 Filename","Textless Hero 16:9 Filename","Other Key Art Filenames","Other Images Filenames","Episode SKU","Episode Name","Season Number","Episode Number","Episode Synopsis","Episode Language","Episode Chapters/Ad Breaks","Episode Running Time","Episode Filename","Episode Subtitles/Captions Filenames","Episode Subtitles/Captions Languages","Episode Subtitles/Captions Type","Episode Season Name"
"Filmhub CSV Metadata 3.0 - Filmhub Movies & Shows","Show","3.0","8rjc-4ray","Rent-a-Goalie","Cake is a hockey-mad, recovered-from-everything go-to guy who runs a rag-tag hockey goalie rental service.","","Comedy","Canadian Comedy Awards, Gemini Awards","Christopher Bolton, Philip Riccio, Inga Cadranel, Mayko Nguyen, Carlos Diaz","TW Peacocke, James Allodi, Paul Fox, Peter Wellington","Graeme Manson, Christopher Bolton, Denis McGrath, Josh Gallagher, A.M. Reid, Max Reid","","","2006","Canada","English","Eggplant Picture & Sound","2026 Capital Motion","Filmhub","tt0772215","https://www.imdb.com/title/tt0772215","US-TV","TV-MA","Language, Violence, Sex","Canadian shows, Hockey Canada, Hockey team, Toronto, canadian content, ice hockey","","avod, svod, tvod","2026-04-01","open","","",,,"No","","","","",,"S0E0_8rjc-4ray_rent-a-goalie_2x3.jpg","S0E0_8rjc-4ray_rent-a-goalie_3x4.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9_textless.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x6.jpgS0E0_8rjc-4ray_rent-a-goalie_4x3.jpgS0E0_8rjc-4ray_rent-a-goalie_2x1.jpg","S0E0_8rjc-4ray_rent-a-goalie_other_99391bf9-d6d8-4e5b-96e4-5a2d173552b0.jpg","8qez-b4tf","The Arrivalist",1,1,"The boys are impressed with Cake when they learn that idol Tiger Williams has called Cake to book a goalie. However, Cake's life takes a turn for the worse when his one-night stand returns.","en","00:07:59:12,00:15:59:00","22","S1E1_8qez-b4tf_the_arrivalist_main.mp4","S1E1_8qez-b4tf_the_arrivalist_en.srt, S1E2_dnye-yawf_the_irish_are_fags_en.srt, S1E3_aa36-pd6d_malta_en.srt, S1E4_tbxf-n4t3_blue_balls_en.srt, S1E5_pj74-fg74_bar_code_en.srt, S1E6_7nkp-hh9k_shit_zone_en.srt, S1E7_ymtf-i6te_going_to_the_chapel_en.srt, S1E8_dqp9-6rhi_fire_in_the_hole_en.srt","en, en, en, en, en, en, en, en","sdh, sdh, sdh, sdh, sdh, sdh, sdh, sdh","Season 1"
"Filmhub CSV Metadata 3.0 - Filmhub Movies & Shows","Show","3.0","8rjc-4ray","Rent-a-Goalie","Cake is a hockey-mad, recovered-from-everything go-to guy who runs a rag-tag hockey goalie rental service.","","Comedy","Canadian Comedy Awards, Gemini Awards","Christopher Bolton, Philip Riccio, Inga Cadranel, Mayko Nguyen, Carlos Diaz","TW Peacocke, James Allodi, Paul Fox, Peter Wellington","Graeme Manson, Christopher Bolton, Denis McGrath, Josh Gallagher, A.M. Reid, Max Reid","","","2006","Canada","English","Eggplant Picture & Sound","2026 Capital Motion","Filmhub","tt0772215","https://www.imdb.com/title/tt0772215","US-TV","TV-MA","Language, Violence, Sex","Canadian shows, Hockey Canada, Hockey team, Toronto, canadian content, ice hockey","","avod, svod, tvod","2026-04-01","open","","",,,"No","","","","",,"S0E0_8rjc-4ray_rent-a-goalie_2x3.jpg","S0E0_8rjc-4ray_rent-a-goalie_3x4.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9_textless.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x6.jpgS0E0_8rjc-4ray_rent-a-goalie_4x3.jpgS0E0_8rjc-4ray_rent-a-goalie_2x1.jpg","S0E0_8rjc-4ray_rent-a-goalie_other_99391bf9-d6d8-4e5b-96e4-5a2d173552b0.jpg","dnye-yawf","The Irish Are Fags",1,2,"Cake is upset to learn that an old business rival has usurped his business name and tries to figure out a way to get it back.","en","00:07:59:12,00:15:59:00","22","S1E2_dnye-yawf_the_irish_are_fags_main.mp4","S1E1_8qez-b4tf_the_arrivalist_en.srt, S1E2_dnye-yawf_the_irish_are_fags_en.srt, S1E3_aa36-pd6d_malta_en.srt, S1E4_tbxf-n4t3_blue_balls_en.srt, S1E5_pj74-fg74_bar_code_en.srt, S1E6_7nkp-hh9k_shit_zone_en.srt, S1E7_ymtf-i6te_going_to_the_chapel_en.srt, S1E8_dqp9-6rhi_fire_in_the_hole_en.srt","en, en, en, en, en, en, en, en","sdh, sdh, sdh, sdh, sdh, sdh, sdh, sdh","Season 1"
"Filmhub CSV Metadata 3.0 - Filmhub Movies & Shows","Show","3.0","8rjc-4ray","Rent-a-Goalie","Cake is a hockey-mad, recovered-from-everything go-to guy who runs a rag-tag hockey goalie rental service.","","Comedy","Canadian Comedy Awards, Gemini Awards","Christopher Bolton, Philip Riccio, Inga Cadranel, Mayko Nguyen, Carlos Diaz","TW Peacocke, James Allodi, Paul Fox, Peter Wellington","Graeme Manson, Christopher Bolton, Denis McGrath, Josh Gallagher, A.M. Reid, Max Reid","","","2006","Canada","English","Eggplant Picture & Sound","2026 Capital Motion","Filmhub","tt0772215","https://www.imdb.com/title/tt0772215","US-TV","TV-MA","Language, Violence, Sex","Canadian shows, Hockey Canada, Hockey team, Toronto, canadian content, ice hockey","","avod, svod, tvod","2026-04-01","open","","",,,"No","","","","",,"S0E0_8rjc-4ray_rent-a-goalie_2x3.jpg","S0E0_8rjc-4ray_rent-a-goalie_3x4.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9_textless.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x6.jpgS0E0_8rjc-4ray_rent-a-goalie_4x3.jpgS0E0_8rjc-4ray_rent-a-goalie_2x1.jpg","S0E0_8rjc-4ray_rent-a-goalie_other_99391bf9-d6d8-4e5b-96e4-5a2d173552b0.jpg","aa36-pd6d","Malta",1,3,"An old flame from Cake's past arrives in town, and Cake starts to display erratic behaviour soon after.","en","00:07:59:12,00:15:59:00","22","S1E3_aa36-pd6d_malta_main.mp4","S1E1_8qez-b4tf_the_arrivalist_en.srt, S1E2_dnye-yawf_the_irish_are_fags_en.srt, S1E3_aa36-pd6d_malta_en.srt, S1E4_tbxf-n4t3_blue_balls_en.srt, S1E5_pj74-fg74_bar_code_en.srt, S1E6_7nkp-hh9k_shit_zone_en.srt, S1E7_ymtf-i6te_going_to_the_chapel_en.srt, S1E8_dqp9-6rhi_fire_in_the_hole_en.srt","en, en, en, en, en, en, en, en","sdh, sdh, sdh, sdh, sdh, sdh, sdh, sdh","Season 1"
"Filmhub CSV Metadata 3.0 - Filmhub Movies & Shows","Show","3.0","8rjc-4ray","Rent-a-Goalie","Cake is a hockey-mad, recovered-from-everything go-to guy who runs a rag-tag hockey goalie rental service.","","Comedy","Canadian Comedy Awards, Gemini Awards","Christopher Bolton, Philip Riccio, Inga Cadranel, Mayko Nguyen, Carlos Diaz","TW Peacocke, James Allodi, Paul Fox, Peter Wellington","Graeme Manson, Christopher Bolton, Denis McGrath, Josh Gallagher, A.M. Reid, Max Reid","","","2006","Canada","English","Eggplant Picture & Sound","2026 Capital Motion","Filmhub","tt0772215","https://www.imdb.com/title/tt0772215","US-TV","TV-MA","Language, Violence, Sex","Canadian shows, Hockey Canada, Hockey team, Toronto, canadian content, ice hockey","","avod, svod, tvod","2026-04-01","open","","",,,"No","","","","",,"S0E0_8rjc-4ray_rent-a-goalie_2x3.jpg","S0E0_8rjc-4ray_rent-a-goalie_3x4.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9_textless.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x6.jpgS0E0_8rjc-4ray_rent-a-goalie_4x3.jpgS0E0_8rjc-4ray_rent-a-goalie_2x1.jpg","S0E0_8rjc-4ray_rent-a-goalie_other_99391bf9-d6d8-4e5b-96e4-5a2d173552b0.jpg","tbxf-n4t3","Blue Balls",1,4,"The truce between Cake and O'Malley threatens to fall apart even as a mysterious infection sweeps through the goalie ranks.","en","00:07:59:12,00:15:59:00","22","S1E4_tbxf-n4t3_blue_balls_main.mp4","S1E1_8qez-b4tf_the_arrivalist_en.srt, S1E2_dnye-yawf_the_irish_are_fags_en.srt, S1E3_aa36-pd6d_malta_en.srt, S1E4_tbxf-n4t3_blue_balls_en.srt, S1E5_pj74-fg74_bar_code_en.srt, S1E6_7nkp-hh9k_shit_zone_en.srt, S1E7_ymtf-i6te_going_to_the_chapel_en.srt, S1E8_dqp9-6rhi_fire_in_the_hole_en.srt","en, en, en, en, en, en, en, en","sdh, sdh, sdh, sdh, sdh, sdh, sdh, sdh","Season 1"
"Filmhub CSV Metadata 3.0 - Filmhub Movies & Shows","Show","3.0","8rjc-4ray","Rent-a-Goalie","Cake is a hockey-mad, recovered-from-everything go-to guy who runs a rag-tag hockey goalie rental service.","","Comedy","Canadian Comedy Awards, Gemini Awards","Christopher Bolton, Philip Riccio, Inga Cadranel, Mayko Nguyen, Carlos Diaz","TW Peacocke, James Allodi, Paul Fox, Peter Wellington","Graeme Manson, Christopher Bolton, Denis McGrath, Josh Gallagher, A.M. Reid, Max Reid","","","2006","Canada","English","Eggplant Picture & Sound","2026 Capital Motion","Filmhub","tt0772215","https://www.imdb.com/title/tt0772215","US-TV","TV-MA","Language, Violence, Sex","Canadian shows, Hockey Canada, Hockey team, Toronto, canadian content, ice hockey","","avod, svod, tvod","2026-04-01","open","","",,,"No","","","","",,"S0E0_8rjc-4ray_rent-a-goalie_2x3.jpg","S0E0_8rjc-4ray_rent-a-goalie_3x4.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9_textless.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x6.jpgS0E0_8rjc-4ray_rent-a-goalie_4x3.jpgS0E0_8rjc-4ray_rent-a-goalie_2x1.jpg","S0E0_8rjc-4ray_rent-a-goalie_other_99391bf9-d6d8-4e5b-96e4-5a2d173552b0.jpg","pj74-fg74","Bar Code",1,5,"Cake and Francesca get into a bitter dispute when Francesca recruits a new goalie to join the ranks.","en","00:07:59:12,00:15:59:00","22","S1E5_pj74-fg74_bar_code_main.mp4","S1E1_8qez-b4tf_the_arrivalist_en.srt, S1E2_dnye-yawf_the_irish_are_fags_en.srt, S1E3_aa36-pd6d_malta_en.srt, S1E4_tbxf-n4t3_blue_balls_en.srt, S1E5_pj74-fg74_bar_code_en.srt, S1E6_7nkp-hh9k_shit_zone_en.srt, S1E7_ymtf-i6te_going_to_the_chapel_en.srt, S1E8_dqp9-6rhi_fire_in_the_hole_en.srt","en, en, en, en, en, en, en, en","sdh, sdh, sdh, sdh, sdh, sdh, sdh, sdh","Season 1"
"Filmhub CSV Metadata 3.0 - Filmhub Movies & Shows","Show","3.0","8rjc-4ray","Rent-a-Goalie","Cake is a hockey-mad, recovered-from-everything go-to guy who runs a rag-tag hockey goalie rental service.","","Comedy","Canadian Comedy Awards, Gemini Awards","Christopher Bolton, Philip Riccio, Inga Cadranel, Mayko Nguyen, Carlos Diaz","TW Peacocke, James Allodi, Paul Fox, Peter Wellington","Graeme Manson, Christopher Bolton, Denis McGrath, Josh Gallagher, A.M. Reid, Max Reid","","","2006","Canada","English","Eggplant Picture & Sound","2026 Capital Motion","Filmhub","tt0772215","https://www.imdb.com/title/tt0772215","US-TV","TV-MA","Language, Violence, Sex","Canadian shows, Hockey Canada, Hockey team, Toronto, canadian content, ice hockey","","avod, svod, tvod","2026-04-01","open","","",,,"No","","","","",,"S0E0_8rjc-4ray_rent-a-goalie_2x3.jpg","S0E0_8rjc-4ray_rent-a-goalie_3x4.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9_textless.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x6.jpgS0E0_8rjc-4ray_rent-a-goalie_4x3.jpgS0E0_8rjc-4ray_rent-a-goalie_2x1.jpg","S0E0_8rjc-4ray_rent-a-goalie_other_99391bf9-d6d8-4e5b-96e4-5a2d173552b0.jpg","7nkp-hh9k","Shit Zone",1,6,"Cake and Francesca get into a bitter dispute when Francesca recruits a new goalie to join the ranks.","en","00:07:59:12,00:15:59:00","22","S1E6_7nkp-hh9k_shit_zone_main.mp4","S1E1_8qez-b4tf_the_arrivalist_en.srt, S1E2_dnye-yawf_the_irish_are_fags_en.srt, S1E3_aa36-pd6d_malta_en.srt, S1E4_tbxf-n4t3_blue_balls_en.srt, S1E5_pj74-fg74_bar_code_en.srt, S1E6_7nkp-hh9k_shit_zone_en.srt, S1E7_ymtf-i6te_going_to_the_chapel_en.srt, S1E8_dqp9-6rhi_fire_in_the_hole_en.srt","en, en, en, en, en, en, en, en","sdh, sdh, sdh, sdh, sdh, sdh, sdh, sdh","Season 1"
"Filmhub CSV Metadata 3.0 - Filmhub Movies & Shows","Show","3.0","8rjc-4ray","Rent-a-Goalie","Cake is a hockey-mad, recovered-from-everything go-to guy who runs a rag-tag hockey goalie rental service.","","Comedy","Canadian Comedy Awards, Gemini Awards","Christopher Bolton, Philip Riccio, Inga Cadranel, Mayko Nguyen, Carlos Diaz","TW Peacocke, James Allodi, Paul Fox, Peter Wellington","Graeme Manson, Christopher Bolton, Denis McGrath, Josh Gallagher, A.M. Reid, Max Reid","","","2006","Canada","English","Eggplant Picture & Sound","2026 Capital Motion","Filmhub","tt0772215","https://www.imdb.com/title/tt0772215","US-TV","TV-MA","Language, Violence, Sex","Canadian shows, Hockey Canada, Hockey team, Toronto, canadian content, ice hockey","","avod, svod, tvod","2026-04-01","open","","",,,"No","","","","",,"S0E0_8rjc-4ray_rent-a-goalie_2x3.jpg","S0E0_8rjc-4ray_rent-a-goalie_3x4.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9_textless.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x6.jpgS0E0_8rjc-4ray_rent-a-goalie_4x3.jpgS0E0_8rjc-4ray_rent-a-goalie_2x1.jpg","S0E0_8rjc-4ray_rent-a-goalie_other_99391bf9-d6d8-4e5b-96e4-5a2d173552b0.jpg","ymtf-i6te","Going to the Chapel",1,7,"Billy asks for Francesca's hand in marriage. Cake's objections to this development are muted when an unexpected figure from his past shows up.","en","00:07:59:12,00:15:59:00","22","S1E7_ymtf-i6te_going_to_the_chapel_main.mp4","S1E1_8qez-b4tf_the_arrivalist_en.srt, S1E2_dnye-yawf_the_irish_are_fags_en.srt, S1E3_aa36-pd6d_malta_en.srt, S1E4_tbxf-n4t3_blue_balls_en.srt, S1E5_pj74-fg74_bar_code_en.srt, S1E6_7nkp-hh9k_shit_zone_en.srt, S1E7_ymtf-i6te_going_to_the_chapel_en.srt, S1E8_dqp9-6rhi_fire_in_the_hole_en.srt","en, en, en, en, en, en, en, en","sdh, sdh, sdh, sdh, sdh, sdh, sdh, sdh","Season 1"
"Filmhub CSV Metadata 3.0 - Filmhub Movies & Shows","Show","3.0","8rjc-4ray","Rent-a-Goalie","Cake is a hockey-mad, recovered-from-everything go-to guy who runs a rag-tag hockey goalie rental service.","","Comedy","Canadian Comedy Awards, Gemini Awards","Christopher Bolton, Philip Riccio, Inga Cadranel, Mayko Nguyen, Carlos Diaz","TW Peacocke, James Allodi, Paul Fox, Peter Wellington","Graeme Manson, Christopher Bolton, Denis McGrath, Josh Gallagher, A.M. Reid, Max Reid","","","2006","Canada","English","Eggplant Picture & Sound","2026 Capital Motion","Filmhub","tt0772215","https://www.imdb.com/title/tt0772215","US-TV","TV-MA","Language, Violence, Sex","Canadian shows, Hockey Canada, Hockey team, Toronto, canadian content, ice hockey","","avod, svod, tvod","2026-04-01","open","","",,,"No","","","","",,"S0E0_8rjc-4ray_rent-a-goalie_2x3.jpg","S0E0_8rjc-4ray_rent-a-goalie_3x4.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x9_textless.jpg","S0E0_8rjc-4ray_rent-a-goalie_16x6.jpgS0E0_8rjc-4ray_rent-a-goalie_4x3.jpgS0E0_8rjc-4ray_rent-a-goalie_2x1.jpg","S0E0_8rjc-4ray_rent-a-goalie_other_99391bf9-d6d8-4e5b-96e4-5a2d173552b0.jpg","dqp9-6rhi","Fire in the Hole",1,8,"Cake is blamed for the run of bad luck by a local goalie and has to endure the wrath of the team's fans as a result.","en","00:07:59:12,00:15:59:00","22","S1E8_dqp9-6rhi_fire_in_the_hole_main.mp4","S1E1_8qez-b4tf_the_arrivalist_en.srt, S1E2_dnye-yawf_the_irish_are_fags_en.srt, S1E3_aa36-pd6d_malta_en.srt, S1E4_tbxf-n4t3_blue_balls_en.srt, S1E5_pj74-fg74_bar_code_en.srt, S1E6_7nkp-hh9k_shit_zone_en.srt, S1E7_ymtf-i6te_going_to_the_chapel_en.srt, S1E8_dqp9-6rhi_fire_in_the_hole_en.srt","en, en, en, en, en, en, en, en","sdh, sdh, sdh, sdh, sdh, sdh, sdh, sdh","Season 1"
